Qty	Value	Device	Package	Parts	Description or part number
1		78LXXSOT89	SOT89R	IC6	L78L05ABUTR
1		CRYSTALCTS406	CTS406	Q1	ABM3B-8.000MHZ-10-1-U-T
1		DIODE-SOD123	SOD123	D10	BAV3004W-7-F
1		LED3MM	LED3MM	LED2	3mm LED
1		PINHD-1X5	1X05	PROG	Leave empty
3	0.1uF	C-EUC1206	C1206	"C2, C4, C8"	100nF 50V X7R 1206 capacitor
2	100K	R-EU_R1206	R1206	"R3, R4"	100Kohm 1% 1206 resistor
1	100mA?	1206_POLYSWITCH	1206	U$10	0ZCJ0010FF2E
1	100nF	C-EUC1206	C1206	C11	100nF 50V X7R 1206 capacitor
1	10K	R-EU_R1206	R1206	R1	10Kohm 1% 1206 resistor
2	10pF	C-EUC0805	C0805	"C5, C6"	10pF 50V C0G 0805 capacitor
1	1uF	C-EUC1206	C1206	C1	1uF 25V X7R 1206 capacitor
1	47uF	C-EUC1206	C1206	C7	47uF 1206 capacitor
1	ATMEGA16M1	ATMEGA16M1	TQFP32	U$5	ATMEGA16M1-AU
1	EVQPA	EVQPA	EVQPA	U$2	EVQ-PAD09K
1	HTFS800	HTFS800	HTFS800	U$1	"Can use HTFS200, HTFS400 or HTFS800"
1	L9616	L9616	SOIC8	SN65HVD1040	SN65HVD1040QDRQ1
2	MOLEX-39502-1005	MOLEX-39502-1005	MOLEX-39502-1005	"CAN1, CAN2"	Molex 39502-1005
